Removed Member From Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=C40
Removed Member From Class: ClassName=SelfDrivingCar_SCH_Others Member=C40
Removed Member From Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=C40
Removed Member From Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=C41
Removed Member From Class: ClassName=SelfDrivingCar_SCH_Others Member=C41
Removed Member From Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=C41
Added Member To Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=Component C24 100 nF, 16 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=Component C25 100 nF, 16 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=Component C26 10 nF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_STM32F103C8T6 Member=Component C27 1 uF, 16 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C28 470 nF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C29 470 nF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C30 470 nF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C31 470 nF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C32 100 nF, 16 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C33 100 nF, 16 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C34 47uF, 35V
Added Member To Class: ClassName=SelfDrivingCar_SCH_MotorDriver Member=Component C35 47uF, 35V
Added Member To Class: ClassName=SelfDrivingCar_SCH_Others Member=Component C36 1 pF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_Others Member=Component C37 1 pF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_Others Member=Component C38 1 pF, 50 VDC
Added Member To Class: ClassName=SelfDrivingCar_SCH_Others Member=Component C39 1 pF, 50 VDC
