Change component parameters: Designator = "D7" ("D7"); Footprint = "DO-214AC (SMA)"; UniqueID = "\FVWNITVH" ("\FVWNITVH")
Change component parameters (AddParameter): Name = "BRAND"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PACKAGE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PART NO"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "STOCK CODE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUPPLIER"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUPPLIER NAME"; Value = "JLCPCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUPPLIER SN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SUPPLIER URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TYPE"; Value = ""; VariantName = "[No Variations]"
